# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sat Mar 11 01:47:47 CST 2017
#
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.7,10) frames.
Overall, AH1_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.6,13) frames.
Overall, NG_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,18) frames.
Overall, B_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,10) frames.
Overall, L_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,13) frames.
Overall, R_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.8,14) frames.
Overall, ER0_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,15) frames.
Overall, G_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,11) frames.
Overall, OW1_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.9,18) frames.
The optional-silence phone SIL occupies 44.9% of frames overall 
Limiting the stats to the 56.3% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 2.5% of frames.
Assuming 100 frames per second, the alignments represent 34.5 hours of data, or 19.0 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 0.8% of utterance-internal phones, with duration (median, mean, 95-percentile) = (18,25.4,66)
# Accounting: time=0 threads=1
# Ended (code 0) at Sat Mar 11 01:47:47 CST 2017, elapsed time 0 seconds
