# gunzip -c exp/tri2b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sat Mar 11 05:09:35 CST 2017
#
Overall, D_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,11) frames.
Overall, R_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,14) frames.
Overall, M_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.9,21) frames.
Overall, V_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,10) frames.
Overall, AH1_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.8,13) frames.
Overall, NG_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.2,21) frames.
Overall, B_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,9) frames.
Overall, L_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,14) frames.
Overall, R_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.8,20) frames.
Overall, ER0_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,14) frames.
Overall, G_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,11) frames.
Overall, OW1_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,18) frames.
The optional-silence phone SIL occupies 41.8% of frames overall 
Limiting the stats to the 58.8% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 1.7% of frames.
Assuming 100 frames per second, the alignments represent 34.5 hours of data, or 20.1 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 1.0% of utterance-internal phones, with duration (median, mean, 95-percentile) = (7,13.9,40)
# Accounting: time=0 threads=1
# Ended (code 0) at Sat Mar 11 05:09:35 CST 2017, elapsed time 0 seconds
